 ceap_07010101             SWAT+ Mar 4 2024        MODULAR Rev 2024.61.0                                  
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
   365    12    31  2018      13       1  t_1_13               0.2465E-01     0.5053E-02     0.2459E-01     0.2465E-01     0.9535E+01     0.9535E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.3904E+00     0.0000E+00     0.0000E+00     0.5626E+01     0.1405E+01     0.1743E-02     0.6303E-02     0.0000E+00     0.0000E+00     0.3868E+02     0.7928E+01     0.3859E+02     0.4971E-01     0.2189E+01     0.2549E+00     0.1360E+01     0.6628E+02
   365    12    31  2018      14       1  t_1_14               0.5959E-01     0.5575E-01     0.5947E-01     0.5959E-01     0.1867E+01     0.1867E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5993E+01     0.1105E+01     0.7035E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.8030E+02     0.7512E+02     0.8014E+02     0.1167E-01     0.4480E+01     0.4971E-01     0.1105E+01     0.3138E+02
   365    12    31  2018      15       1  m_1_15               0.4619E+00     0.6007E-02     0.4618E+00     0.4619E+00     0.2224E+02     0.3059E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8344E+01     0.0000E+00     0.7693E+01     0.1132E+01     0.4952E-03     0.0000E+00     0.1163E+00     0.0000E+00     0.3108E+03     0.4042E+01     0.3107E+03     0.2232E-01     0.3038E+02     0.5949E+00     0.1132E+01     0.3497E+02
   365    12    31  2018      16       1  t_1_16               0.3489E+00     0.1728E-01     0.3488E+00     0.3489E+00     0.1504E+02     0.1504E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.4352E+03     0.0000E+00     0.0000E+00     0.6306E+01     0.1919E+02     0.1601E-02     0.9438E+00     0.0000E+00     0.0000E+00     0.3472E+03     0.1719E+02     0.3471E+03     0.2467E-01     0.2200E+02     0.4025E+00     0.1003E+02     0.4402E+04
   365    12    31  2018      17       1  t_1_17               0.7438E-01     0.6981E-01     0.7435E-01     0.7438E-01     0.2223E+01     0.4554E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2331E+01     0.0000E+00     0.5774E+01     0.9614E+00     0.1000E-04     0.0000E+00     0.5036E-01     0.0000E+00     0.5006E+03     0.4699E+03     0.5004E+03     0.3291E-02     0.5380E+01     0.5955E-01     0.9614E+00     0.2848E+01
   365    12    31  2018      18       1  t_1_18               0.1434E+00     0.5501E-01     0.1432E+00     0.1434E+00     0.1136E+02     0.1136E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.9013E-02     0.0000E+00     0.0000E+00     0.6692E+01     0.8898E+00     0.4315E-03     0.2169E-04     0.0000E+00     0.0000E+00     0.2375E+03     0.9113E+02     0.2373E+03     0.4309E-01     0.1048E+02     0.2414E+00     0.8897E+00     0.1898E+02
   365    12    31  2018      19       1  t_1_19               0.1738E+00     0.2379E-01     0.1737E+00     0.1738E+00     0.1458E+02     0.1684E+02     0.0000E+00     0.0000E+00     0.2232E+01     0.0000E+00     0.4493E+01     0.0000E+00     0.6956E+01     0.8797E+00     0.1000E-04     0.0000E+00     0.1584E+00     0.0000E+00     0.2114E+03     0.2894E+02     0.2114E+03     0.5543E-02     0.1275E+02     0.3290E+00     0.8797E+00     0.2945E+01
   365    12    31  2018      20       1  t_1_20               0.2708E-01     0.1069E-01     0.2705E-01     0.2708E-01     0.7977E+01     0.7977E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.8348E+00     0.0000E+00     0.0000E+00     0.5386E+01     0.1397E+01     0.2362E-02     0.2202E-01     0.0000E+00     0.0000E+00     0.5079E+02     0.2004E+02     0.5073E+02     0.2144E-01     0.2250E+01     0.2135E+00     0.1208E+01     0.6067E+02
   365    12    31  2018      21       1  m_1_21               0.1038E+00     0.3667E-01     0.1038E+00     0.1038E+00     0.5589E+01     0.5589E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.7198E+02     0.0000E+00     0.0000E+00     0.6672E+01     0.6453E+01     0.2208E-02     0.2857E+00     0.0000E+00     0.0000E+00     0.1046E+03     0.3694E+02     0.1046E+03     0.1059E-01     0.7648E+01     0.1499E+00     0.3967E+01     0.6984E+03
   365    12    31  2018      22       1  t_1_22               0.3198E+00     0.2901E+00     0.3197E+00     0.3198E+00     0.9213E+01     0.9213E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.2745E-01     0.0000E+00     0.0000E+00     0.5795E+01     0.1159E+01     0.4746E-03     0.3345E-03     0.0000E+00     0.0000E+00     0.5180E+03     0.4700E+03     0.5179E+03     0.6998E-02     0.1960E+02     0.2472E+00     0.1158E+01     0.2701E+02
